,old
0,HTX to Add SIS to Margin Products
1,"HTX to Delist BCHBTC, WAVESUSDT and BATUSDT Isolated Margin Trading Pairs on September 21"
2,"HTX to Delist MKRUSDT, STORJUSDT and PEOPLEUSDT Isolated Margin Trading Pairs on September 14"
3,HTX to Remove Selected Cross and Isolated Margin Trading Pairs on Sept 6
4,"HTX to Delist AIDOGE/USDT, LINA/USDT, EOS/BTC, LOOKS/USDT, CELO/USDT and ENS/USDT Isolated Margin Trading Pairs on August 31"
5,"HTX to Delist BSV/BTC, GARI/USDT and C98/USDT Isolated Margin Trading Pairs on August 24"
6,"HTX Postpones Delisting of WOJAK/USDT, GLMR/USDT, and OGN/USDT Isolated Margin Trading Pairs"
7,"HTX to Delist WOJAK/USDT, GLMR/USDT and OGN/USDT Isolated Margin Trading Pairs on August 17th"
8,"HTX to Launch Margin Trading Contest: Vie for 10,000 USDT Prize Pool in 100% Margin Interest Vouchers!"
9,HTX Suspends Margin Loans for 61 Isolated Margin Trading Pairs
0,HTX to Add SIS to Margin Products
1,"HTX to Delist BCHBTC, WAVESUSDT and BATUSDT Isolated Margin Trading Pairs on September 21"
2,"HTX to Delist MKRUSDT, STORJUSDT and PEOPLEUSDT Isolated Margin Trading Pairs on September 14"
3,HTX to Remove Selected Cross and Isolated Margin Trading Pairs on Sept 6
4,"HTX to Delist AIDOGE/USDT, LINA/USDT, EOS/BTC, LOOKS/USDT, CELO/USDT and ENS/USDT Isolated Margin Trading Pairs on August 31"
5,"HTX to Delist BSV/BTC, GARI/USDT and C98/USDT Isolated Margin Trading Pairs on August 24"
6,"HTX Postpones Delisting of WOJAK/USDT, GLMR/USDT, and OGN/USDT Isolated Margin Trading Pairs"
7,"HTX to Delist WOJAK/USDT, GLMR/USDT and OGN/USDT Isolated Margin Trading Pairs on August 17th"
8,"HTX to Launch Margin Trading Contest: Vie for 10,000 USDT Prize Pool in 100% Margin Interest Vouchers!"
9,HTX Suspends Margin Loans for 61 Isolated Margin Trading Pairs
10,OKX to Enable USDC-Margin Trading for BTC
11,Delisting of trading pairs – fifteenth batch
12,OKX to Enable Margin Trading and Savings for CLV
13,OKX to adjust spot and margin trading tick sizes
14,OKX to Enable Margin Trading and Savings for KAR
0,HTX to Add SIS to Margin Products
1,"HTX to Delist BCHBTC, WAVESUSDT and BATUSDT Isolated Margin Trading Pairs on September 21"
2,"HTX to Delist MKRUSDT, STORJUSDT and PEOPLEUSDT Isolated Margin Trading Pairs on September 14"
3,HTX to Remove Selected Cross and Isolated Margin Trading Pairs on Sept 6
4,"HTX to Delist AIDOGE/USDT, LINA/USDT, EOS/BTC, LOOKS/USDT, CELO/USDT and ENS/USDT Isolated Margin Trading Pairs on August 31"
5,"HTX to Delist BSV/BTC, GARI/USDT and C98/USDT Isolated Margin Trading Pairs on August 24"
6,"HTX Postpones Delisting of WOJAK/USDT, GLMR/USDT, and OGN/USDT Isolated Margin Trading Pairs"
7,"HTX to Delist WOJAK/USDT, GLMR/USDT and OGN/USDT Isolated Margin Trading Pairs on August 17th"
8,"HTX to Launch Margin Trading Contest: Vie for 10,000 USDT Prize Pool in 100% Margin Interest Vouchers!"
9,HTX Suspends Margin Loans for 61 Isolated Margin Trading Pairs
10,OKX to Enable USDC-Margin Trading for BTC
11,Delisting of trading pairs – fifteenth batch
12,OKX to Enable Margin Trading and Savings for CLV
13,OKX to adjust spot and margin trading tick sizes
14,OKX to Enable Margin Trading and Savings for KAR
15,Gate.io Has Added TIA on Cross & Isolated Margin...
0,HTX to Add SIS to Margin Products
1,"HTX to Delist BCHBTC, WAVESUSDT and BATUSDT Isolated Margin Trading Pairs on September 21"
2,"HTX to Delist MKRUSDT, STORJUSDT and PEOPLEUSDT Isolated Margin Trading Pairs on September 14"
3,HTX to Remove Selected Cross and Isolated Margin Trading Pairs on Sept 6
4,"HTX to Delist AIDOGE/USDT, LINA/USDT, EOS/BTC, LOOKS/USDT, CELO/USDT and ENS/USDT Isolated Margin Trading Pairs on August 31"
5,"HTX to Delist BSV/BTC, GARI/USDT and C98/USDT Isolated Margin Trading Pairs on August 24"
6,"HTX Postpones Delisting of WOJAK/USDT, GLMR/USDT, and OGN/USDT Isolated Margin Trading Pairs"
7,"HTX to Delist WOJAK/USDT, GLMR/USDT and OGN/USDT Isolated Margin Trading Pairs on August 17th"
8,"HTX to Launch Margin Trading Contest: Vie for 10,000 USDT Prize Pool in 100% Margin Interest Vouchers!"
9,HTX Suspends Margin Loans for 61 Isolated Margin Trading Pairs
10,OKX to Enable USDC-Margin Trading for BTC
11,Delisting of trading pairs – fifteenth batch
12,OKX to Enable Margin Trading and Savings for CLV
13,OKX to adjust spot and margin trading tick sizes
14,OKX to Enable Margin Trading and Savings for KAR
15,Gate.io Has Added TIA on Cross & Isolated Margin...
0,HTX to Add SIS to Margin Products
1,"HTX to Delist BCHBTC, WAVESUSDT and BATUSDT Isolated Margin Trading Pairs on September 21"
2,"HTX to Delist MKRUSDT, STORJUSDT and PEOPLEUSDT Isolated Margin Trading Pairs on September 14"
3,HTX to Remove Selected Cross and Isolated Margin Trading Pairs on Sept 6
4,"HTX to Delist AIDOGE/USDT, LINA/USDT, EOS/BTC, LOOKS/USDT, CELO/USDT and ENS/USDT Isolated Margin Trading Pairs on August 31"
5,"HTX to Delist BSV/BTC, GARI/USDT and C98/USDT Isolated Margin Trading Pairs on August 24"
6,"HTX Postpones Delisting of WOJAK/USDT, GLMR/USDT, and OGN/USDT Isolated Margin Trading Pairs"
7,"HTX to Delist WOJAK/USDT, GLMR/USDT and OGN/USDT Isolated Margin Trading Pairs on August 17th"
8,"HTX to Launch Margin Trading Contest: Vie for 10,000 USDT Prize Pool in 100% Margin Interest Vouchers!"
9,HTX Suspends Margin Loans for 61 Isolated Margin Trading Pairs
10,OKX to Enable USDC-Margin Trading for BTC
